NM_CANDIDATO,Partido,NM_UE,Estado,total
RICARDO LUIS REIS NUNES,MDB,SÃO PAULO,SP,16837819.69
JOSE SARTO NOGUEIRA MOREIRA,PDT,FORTALEZA,CE,9969851.56
ALEXANDRE RAMAGEM RODRIGUES,PL,RIO DE JANEIRO,RJ,8898798.86
WAGNER SOUSA GOMES,UNIÃO,FORTALEZA,CE,7411050.61
BRUNO DE CASTRO ENGLER FLORENCIO DE ALMEIDA,PL,BELO HORIZONTE,MG,6620742.52
BRUNO SOARES REIS,UNIÃO,SALVADOR,BA,6561772.33
DÁRIO JORGE GIOLO SAADI,REPUBLICANOS,CAMPINAS,SP,4838945.1
JANAD MARQUES DE FREITAS VALCARI,PL,PALMAS,TO,4808614.88
HUMBERTO REZENDE PEREIRA,PSDB,CAMPO GRANDE,MS,4703130.61
TABATA CLÁUDIA AMARAL DE PONTES,PSB,SÃO PAULO,SP,4479649.94
JOAO HENRIQUE HOLANDA CALDAS,PL,MACEIÓ,AL,3505647.83
JOSÉ EDUARDO BOTELHO,UNIÃO,CUIABÁ,MT,3504484.68
CARLOS HENRIQUE DE LIMA,PL,JOINVILLE,SC,3399879.3
RAFAEL DE GÓES BRITO,MDB,MACEIÓ,AL,3250132.92
FUAD JORGE NOMAN FILHO,PSD,BELO HORIZONTE,MG,3245269.16
TOPAZIO SILVEIRA NETO,PSD,FLORIANÓPOLIS,SC,3214051.02
BRUNO CUNHA LIMA BRANCO,UNIÃO,CAMPINA GRANDE,PB,3184144.58
EVANDRO SA BARRETO LEITAO,PT,FORTALEZA,CE,3116138.59
SANDRO DA MABEL ANTÔNIO SCODRO,UNIÃO,GOIÂNIA,GO,2921152.63
HERON DOMINGUES GUIMARAES,UNIÃO,BETIM,MG,2832588.31
FLÁVIO MARCUS DE AZEVEDO REIS,UNIÃO,CAMAÇARI,BA,2631211.7199999997
NEY LEPREVOST NETO,UNIÃO,CURITIBA,PR,2550867.42
ALBERTO BARROS CAVALCANTE NETO,PL,MANAUS,AM,2410499.88
NELSON RUAS DOS SNTOS,PL,SÃO GONÇALO,RJ,2321160.0
LEONARDO BARRETO DE MORAES,PODE,PORTO VELHO,RO,2318109.3
